TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,29,6,1220,301680,0,74,2,X,01,2023
1,0101,73,5,1220,2842,0,43,1,X,01,2023
1,0101,73,5,1220,13423,0,132,2,X,01,2023
1,0101,73,6,1220,23851,0,707,1,X,01,2023
1,0101,85,5,1220,10677,0,253,1,X,01,2023
1,0102,72,6,1220,47962,0,1192,1,X,01,2023
1,0103,05,5,1220,29799,0,1016,1,X,01,2023
1,0103,73,5,1220,4514,0,116,1,X,01,2023
1,0103,85,5,1220,4791,0,66,1,X,01,2023
1,0104,01,5,1220,195620,0,3733,1,X,01,2023
1,0104,17,5,1220,83256,0,4137,1,X,01,2023
1,0104,19,5,1220,168415,0,10366,1,X,01,2023
1,0104,25,5,1220,59179,0,746,1,X,01,2023
1,0104,28,5,1220,11153,0,1668,1,X,01,2023
1,0104,29,5,1220,4919,0,121,1,X,01,2023
1,0104,32,5,1220,13297,0,260,1,X,01,2023
1,0104,32,5,1220,3688,0,129,2,X,01,2023
1,0104,33,5,1220,5993,0,174,1,X,01,2023
1,0104,35,5,1220,2777,0,137,1,X,01,2023
1,0104,38,5,1220,62928,0,2165,1,X,01,2023
1,0104,38,6,1220,357522,0,3352,1,X,01,2023
1,0104,38,8,1220,14092,0,942,1,X,01,2023
1,0104,39,5,1220,35975,0,631,1,X,01,2023
1,0104,39,5,1220,6992,0,238,2,X,01,2023
1,0104,40,5,1220,18973,0,1069,1,X,01,2023
1,0104,40,5,1220,2944,0,63,2,X,01,2023
1,0104,44,5,1220,13511835,0,371917,1,X,01,2023
1,0104,44,5,1220,3206,0,405,2,X,01,2023
1,0104,44,6,1220,19623,0,890,1,X,01,2023
1,0104,47,5,1220,378603,0,15165,1,X,01,2023
1,0104,47,6,1220,88569,0,3725,2,X,01,2023
1,0104,48,5,1220,7479706,0,621788,1,X,01,2023
1,0104,48,5,1220,4116,0,119,2,X,01,2023
1,0104,48,6,1220,627590,0,11059,1,X,01,2023
1,0104,49,5,1220,59778,0,1740,1,X,01,2023
1,0104,54,5,1220,495799,0,4183,1,X,01,2023
1,0104,55,5,1220,1011970,0,8422,1,X,01,2023
1,0104,56,5,1220,11507,0,69,1,X,01,2023
1,0104,57,5,1220,3027,0,64,2,X,01,2023
1,0104,68,5,1220,554328,0,26360,1,X,01,2023
1,0104,69,5,1220,17457,0,507,1,X,01,2023
1,0104,70,5,1220,6538,0,76,2,X,01,2023
1,0104,72,5,1220,11631,0,98,1,X,01,2023
1,0104,73,5,1220,62135,0,781,1,X,01,2023
1,0104,74,5,1220,120248,0,917,1,X,01,2023
1,0104,75,5,1220,5418,0,55,1,X,01,2023
1,0104,76,5,1220,154716,0,7806,1,X,01,2023
1,0104,82,5,1220,3324,0,100,2,X,01,2023
1,0104,84,5,1220,63242,0,3549,1,X,01,2023
1,0104,84,5,1220,1771802,0,47293,2,X,01,2023
1,0104,85,5,1220,15446,0,302,2,X,01,2023
1,0104,87,5,1220,1329893,0,31988,1,X,01,2023
1,0104,87,5,1220,41129,0,1197,2,X,01,2023
1,0104,94,5,1220,3820,0,146,1,X,01,2023
1,0104,95,5,1220,6083,0,199,1,X,01,2023
1,0104,95,5,1220,12012,0,349,2,X,01,2023
1,0104,97,5,1220,9152,0,199,1,X,01,2023
1,0105,23,6,1220,79179,0,3767,1,X,01,2023
1,0105,25,6,1220,65963,0,444,1,X,01,2023
1,0105,25,6,1220,475899,0,39072,2,X,01,2023
1,0105,27,6,1220,160205,0,3352,1,X,01,2023
1,0105,38,6,1220,331423,0,3352,1,X,01,2023
1,0105,44,5,1220,29459,0,573,1,X,01,2023
1,0105,44,5,1220,64569,0,1265,2,X,01,2023
1,0105,44,6,1220,621200,0,51960,1,X,01,2023
1,0105,48,5,1220,4757,0,152,1,X,01,2023
1,0105,54,5,1220,61013,0,2456,1,X,01,2023
1,0105,54,5,1220,3696,0,327,2,X,01,2023
1,0105,58,5,1220,2730,0,90,1,X,01,2023
1,0105,86,6,1220,3252412,0,296,1,X,01,2023
1,0105,87,5,1220,3666,0,74,1,X,01,2023
1,0106,01,5,1220,113773,0,1198,1,X,01,2023
1,0106,03,5,1220,994941,0,25858,1,X,01,2023
1,0106,03,5,1220,381992,0,17104,2,X,01,2023
1,0106,04,5,1220,108246,0,1504,1,X,01,2023
1,0106,05,5,1220,118178,0,8629,1,X,01,2023
1,0106,06,5,1220,83238,0,406,1,X,01,2023
1,0106,06,5,1220,1260287,0,1218,2,X,01,2023
1,0106,07,5,1220,358647,0,16972,1,X,01,2023
1,0106,07,5,1220,43027,0,1657,2,X,01,2023
1,0106,08,5,1220,400573,0,13116,1,X,01,2023
1,0106,08,5,1220,1758222,0,34412,2,X,01,2023
1,0106,09,5,1220,2627,0,42,1,X,01,2023
1,0106,10,5,1220,23242,0,461,1,X,01,2023
1,0106,11,5,1220,34460,0,3157,1,X,01,2023
1,0106,12,5,1220,218608,0,23464,1,X,01,2023
1,0106,15,5,1220,282549,0,5059,1,X,01,2023
1,0106,15,5,1220,34101,0,3352,2,X,01,2023
1,0106,16,5,1220,93753,0,6833,1,X,01,2023
1,0106,18,5,1220,104044,0,819,1,X,01,2023
1,0106,19,5,1220,1681441,0,154807,1,X,01,2023
1,0106,20,5,1220,315427,0,32965,1,X,01,2023
1,0106,20,5,1220,71704,0,4842,2,X,01,2023
1,0106,21,5,1220,77926,0,6947,1,X,01,2023
1,0106,21,5,1220,29354,0,504,2,X,01,2023
1,0106,22,5,1220,172342,0,12416,1,X,01,2023
1,0106,22,5,1220,29398,0,1075,2,X,01,2023
1,0106,23,5,1220,39427,0,277,1,X,01,2023
1,0106,25,5,1220,58833,0,1577,1,X,01,2023
1,0106,25,5,1220,2623,0,2,2,X,01,2023
1,0106,27,5,1220,1479040,0,38945,1,X,01,2023
1,0106,28,5,1220,997942,0,63390,1,X,01,2023
1,0106,28,6,1220,118483,0,3352,1,X,01,2023
1,0106,29,5,1220,93656,0,2076,1,X,01,2023
1,0106,31,5,1220,114960,0,13298,1,X,01,2023
1,0106,32,5,1220,482125,0,12602,1,X,01,2023
1,0106,33,5,1220,314327,0,3455,1,X,01,2023
1,0106,33,5,1220,345715,0,6263,2,X,01,2023
1,0106,34,5,1220,174759,0,9875,1,X,01,2023
1,0106,35,5,1220,236966,0,9115,1,X,01,2023
1,0106,38,5,1220,665780,0,25658,1,X,01,2023
1,0106,38,5,1220,87234,0,5660,2,X,01,2023
1,0106,39,5,1220,4356450,0,144258,1,X,01,2023
1,0106,39,5,1220,748273,0,42367,2,X,01,2023
1,0106,40,5,1220,6298829,0,333061,1,X,01,2023
1,0106,40,5,1220,25758,0,680,2,X,01,2023
1,0106,42,5,1220,2515,0,12,2,X,01,2023
1,0106,44,5,1220,1375135,0,42818,1,X,01,2023
1,0106,44,5,1220,936660,0,22813,2,X,01,2023
1,0106,47,5,1220,558408,0,14127,1,X,01,2023
1,0106,48,5,1220,2806027,0,91554,1,X,01,2023
1,0106,48,5,1220,369204,0,14820,2,X,01,2023
1,0106,54,5,1220,144065,0,3352,1,X,01,2023
1,0106,54,5,1220,3889,0,64,2,X,01,2023
1,0106,55,5,1220,54425,0,74,1,X,01,2023
1,0106,56,5,1220,1558231,0,6561,1,X,01,2023
1,0106,56,5,1220,6490,0,335,2,X,01,2023
1,0106,57,5,1220,172136,0,6142,1,X,01,2023
1,0106,58,5,1220,28157,0,28,1,X,01,2023
1,0106,59,5,1220,714733,0,29233,1,X,01,2023
1,0106,60,5,1220,33859,0,660,1,X,01,2023
1,0106,60,5,1220,3065,0,70,2,X,01,2023
1,0106,62,5,1220,44748,0,188,2,X,01,2023
1,0106,63,5,1220,13592,0,13,1,X,01,2023
1,0106,63,5,1220,6674,0,113,2,X,01,2023
1,0106,67,5,1220,6524,0,298,2,X,01,2023
1,0106,68,5,1220,1212682,0,56667,1,X,01,2023
1,0106,68,5,1220,23835,0,2102,2,X,01,2023
1,0106,70,5,1220,1063966,0,46203,1,X,01,2023
1,0106,70,5,1220,12697,0,248,2,X,01,2023
1,0106,72,5,1220,469193,0,38717,1,X,01,2023
1,0106,72,5,1220,210733,0,4065,2,X,01,2023
1,0106,72,6,1220,226307,0,5331,1,X,01,2023
1,0106,73,5,1220,7010738,0,394446,1,X,01,2023
1,0106,73,5,1220,419468,0,15060,2,X,01,2023
1,0106,74,5,1220,35307,0,347,1,X,01,2023
1,0106,76,5,1220,1027414,0,55910,1,X,01,2023
1,0106,76,6,1220,12750,0,248,1,X,01,2023
1,0106,78,5,1220,54481,0,539,2,X,01,2023
1,0106,79,5,1220,19942,0,238,1,X,01,2023
1,0106,82,5,1220,21996,0,776,1,X,01,2023
1,0106,83,5,1220,154361,0,3544,1,X,01,2023
1,0106,83,5,1220,3200,0,45,2,X,01,2023
1,0106,84,5,1220,7236656,0,162370,1,X,01,2023
1,0106,84,5,1220,4313499,0,96749,2,X,01,2023
1,0106,85,5,1220,2145193,0,36800,1,X,01,2023
1,0106,85,5,1220,104514,0,1339,2,X,01,2023
1,0106,86,5,1220,137675,0,3258,1,X,01,2023
1,0106,87,5,1220,9373749,0,155184,1,X,01,2023
1,0106,87,5,1220,3346791,0,68357,2,X,01,2023
1,0106,89,5,1220,2070588,0,30719,1,X,01,2023
1,0106,89,5,1220,140079,0,1544,2,X,01,2023
1,0106,90,5,1220,1192463,0,11988,1,X,01,2023
1,0106,90,5,1220,77075,0,1046,2,X,01,2023
1,0106,92,5,1220,3491,0,2,1,X,01,2023
1,0106,94,5,1220,912979,0,23759,1,X,01,2023
1,0106,94,5,1220,96830,0,1957,2,X,01,2023
1,0106,95,5,1220,1077785,0,1477,1,X,01,2023
1,0106,95,5,1220,3442,0,67,2,X,01,2023
1,0106,96,5,1220,449607,0,11650,1,X,01,2023
1,0107,11,5,1220,45025,0,6996,1,X,01,2023
1,0107,39,5,1220,18550,0,363,1,X,01,2023
1,0107,44,5,1220,281579,0,3205,1,X,01,2023
1,0107,73,5,1220,5489,0,222,1,X,01,2023
1,0107,73,8,1220,5092,0,206,1,X,01,2023
1,0107,84,5,1220,19691,0,585,1,X,01,2023
1,0107,87,5,1220,6069,0,102,1,X,01,2023
1,0108,10,5,1220,131067,0,2853,1,X,01,2023
1,0108,15,5,1220,59418,0,588,2,X,01,2023
1,0108,20,5,1220,74717,0,1463,1,X,01,2023
1,0108,27,5,1220,187812,0,18364,1,X,01,2023
1,0108,35,5,1220,36412,0,487,1,X,01,2023
1,0108,39,5,1220,38848,0,378,1,X,01,2023
1,0108,44,5,1220,539881,0,16827,1,X,01,2023
1,0108,44,6,1220,1296581,0,137377,1,X,01,2023
1,0108,48,5,1220,1732546,0,45841,1,X,01,2023
1,0108,83,5,1220,4383,0,152,2,X,01,2023
1,0108,84,5,1220,42909,0,1114,1,X,01,2023
1,0108,84,5,1220,18670,0,555,2,X,01,2023
1,0108,87,5,1220,5878,0,70,1,X,01,2023
1,0108,94,5,1220,6174,0,239,1,X,01,2023
1,0109,38,5,1220,6788,0,96,1,X,01,2023
1,0109,39,5,1220,19327,0,922,1,X,01,2023
1,0109,47,5,1220,35885,0,670,1,X,01,2023
1,0109,48,5,1220,195739,0,3778,1,X,01,2023
1,0109,54,5,1220,75529,0,3238,1,X,01,2023
1,0109,56,5,1220,6945,0,379,1,X,01,2023
1,0109,59,5,1220,30192,0,681,1,X,01,2023
1,0109,83,5,1220,4106,0,145,1,X,01,2023
1,0109,84,5,1220,13000,0,397,1,X,01,2023
1,0109,84,5,1220,6940,0,201,2,X,01,2023
1,0109,85,5,1220,7470,0,305,1,X,01,2023
1,0109,87,5,1220,13054,0,218,1,X,01,2023
1,0109,90,5,1220,55188,0,37,1,X,01,2023
1,0109,95,5,1220,10549,0,385,2,X,01,2023
1,0110,10,5,1220,5209,0,102,1,X,01,2023
1,0110,44,5,1220,116175,0,4811,1,X,01,2023
1,0110,48,5,1220,1740894,0,47791,1,X,01,2023
1,0110,74,5,1220,5828,0,129,1,X,01,2023
1,0110,84,5,1220,75691,0,836,1,X,01,2023
1,0110,84,5,1220,3292,0,98,2,X,01,2023
1,0110,85,5,1220,5566,0,122,1,X,01,2023
1,0110,87,5,1220,2819,0,47,2,X,01,2023
1,0112,12,5,1220,291449,0,2882,1,X,01,2023
1,0112,23,5,1220,58010,0,372,1,X,01,2023
1,0112,39,5,1220,89040,0,881,1,X,01,2023
1,0112,49,5,1220,16808,0,329,1,X,01,2023
1,0112,84,5,1220,15823,0,309,1,X,01,2023
1,0115,01,5,1220,16596,0,323,1,X,01,2023
1,0115,03,5,1220,5127556,0,159439,1,X,01,2023
1,0115,03,5,1220,740776,0,21715,2,X,01,2023
1,0115,05,5,1220,684813,0,32265,1,X,01,2023
1,0115,06,5,1220,16201,0,1110,1,X,01,2023
1,0115,06,5,1220,7124,0,70,2,X,01,2023
1,0115,07,5,1220,79093,0,4529,1,X,01,2023
1,0115,07,5,1220,50343,0,3280,2,X,01,2023
1,0115,08,5,1220,5987328,0,203824,1,X,01,2023
1,0115,08,5,1220,62972,0,1232,2,X,01,2023
1,0115,09,5,1220,8381,0,134,1,X,01,2023
1,0115,09,5,1220,38995,0,2633,2,X,01,2023
1,0115,11,5,1220,33581,0,5218,1,X,01,2023
1,0115,12,5,1220,74413,0,3356,1,X,01,2023
1,0115,13,5,1220,87818,0,1678,1,X,01,2023
1,0115,15,5,1220,104417,0,1973,1,X,01,2023
1,0115,15,5,1220,13162,0,156,2,X,01,2023
1,0115,17,5,1220,101173,0,8941,1,X,01,2023
1,0115,17,5,1220,16009,0,313,2,X,01,2023
1,0115,18,5,1220,328652,0,12733,1,X,01,2023
1,0115,18,5,1220,11376,0,395,2,X,01,2023
1,0115,19,5,1220,119787,0,11196,1,X,01,2023
1,0115,20,5,1220,46850,0,5034,1,X,01,2023
1,0115,21,5,1220,150187,0,10320,1,X,01,2023
1,0115,21,5,1220,73583,0,73,2,X,01,2023
1,0115,22,5,1220,87012,0,3821,1,X,01,2023
1,0115,22,5,1220,6201,0,221,2,X,01,2023
1,0115,23,5,1220,23810,0,2534,1,X,01,2023
1,0115,25,5,1220,51156,0,2073,1,X,01,2023
1,0115,26,5,1220,13175,0,239,1,X,01,2023
1,0115,27,5,1220,208459,0,10077,1,X,01,2023
1,0115,27,7,1220,50022503,0,0,1,X,01,2023
1,0115,28,5,1220,518311,0,44018,1,X,01,2023
1,0115,28,5,1220,44171,0,1238,2,X,01,2023
1,0115,29,5,1220,152251,0,1390,1,X,01,2023
1,0115,29,5,1220,66205,0,204,2,X,01,2023
1,0115,31,5,1220,41335,0,96,2,X,01,2023
1,0115,32,5,1220,1127540,0,39461,1,X,01,2023
1,0115,32,5,1220,21454,0,1700,2,X,01,2023
1,0115,33,5,1220,289446,0,9616,1,X,01,2023
1,0115,33,5,1220,48496,0,1822,2,X,01,2023
1,0115,34,5,1220,249589,0,9496,1,X,01,2023
1,0115,34,5,1220,16379,0,798,2,X,01,2023
1,0115,35,5,1220,201343,0,11493,1,X,01,2023
1,0115,35,5,1220,58834,0,845,2,X,01,2023
1,0115,36,5,1220,3984,0,78,2,X,01,2023
1,0115,38,5,1220,368863,0,9070,1,X,01,2023
1,0115,38,5,1220,101478,0,7598,2,X,01,2023
1,0115,39,5,1220,3801756,0,169450,1,X,01,2023
